#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             4.80          5.00        -26.10        -23.58      30596.73
             5.00          5.20        -26.10        -23.58      87238.26
             5.20          5.40        -26.10        -23.58     204404.99
             5.40          5.60        -26.10        -23.58     444084.89
             5.60          5.80        -26.10        -23.58     786361.30
             5.80          6.00        -26.10        -23.58    1245306.38
             6.00          6.20        -26.10        -23.58    1907507.88
             6.20          6.40        -26.10        -23.58    2606692.37
             6.40          6.60        -26.10        -23.58    3477331.94
             6.60          6.80        -26.10        -23.58    4356422.95
             6.80          7.00        -26.10        -23.58    5733038.84
             7.00          7.20        -26.10        -23.58    7220576.48
             7.20          7.40        -26.10        -23.58    9653799.11
             7.40          7.60        -26.10        -23.58   11672275.76
             7.60          7.80        -26.10        -23.58   13591673.43
             7.80          8.00        -26.10        -23.58   16871684.23
             8.00          8.20        -26.10        -23.58   20417156.80
             8.20          8.40        -26.10        -23.58   23148950.75
             8.40          8.60        -26.10        -23.58   28763845.31
             8.60          8.80        -26.10        -23.58   35632198.25
             8.80          9.00        -26.10        -23.58   41282835.10
             9.00          9.20        -26.10        -23.58          0.00
             9.20          9.40        -26.10        -23.58          0.00
             9.40          9.60        -26.10        -23.58          0.00
             9.60          9.80        -26.10        -23.58          0.00
             9.80         10.00        -26.10        -23.58          0.00
             2.00          2.20        -23.58        -21.10          0.00
             2.20          2.40        -23.58        -21.10          0.00
             2.40          2.60        -23.58        -21.10          0.00
             2.60          2.80        -23.58        -21.10          0.00
             2.80          3.00        -23.58        -21.10          0.00
             3.00          3.20        -23.58        -21.10          0.31
             3.20          3.40        -23.58        -21.10          0.00
             3.40          3.60        -23.58        -21.10          0.00
             3.60          3.80        -23.58        -21.10          0.00
             3.80          4.00        -23.58        -21.10          7.18
             4.00          4.20        -23.58        -21.10         30.70
             4.20          4.40        -23.58        -21.10        305.06
             4.40          4.60        -23.58        -21.10       2640.86
             4.60          4.80        -23.58        -21.10      11972.11
             4.80          5.00        -23.58        -21.10      35216.78
             5.00          5.20        -23.58        -21.10     100448.22
             5.20          5.40        -23.58        -21.10     236223.94
             5.40          5.60        -23.58        -21.10     488291.55
             5.60          5.80        -23.58        -21.10     888001.42
             5.80          6.00        -23.58        -21.10    1342003.94
             6.00          6.20        -23.58        -21.10    2038024.16
             6.20          6.40        -23.58        -21.10    2857942.28
             6.40          6.60        -23.58        -21.10    3876937.81
             6.60          6.80        -23.58        -21.10    5019570.95
             6.80          7.00        -23.58        -21.10    6401159.82
             7.00          7.20        -23.58        -21.10    8015139.29
             7.20          7.40        -23.58        -21.10   10283413.79
             7.40          7.60        -23.58        -21.10   12398796.16
             7.60          7.80        -23.58        -21.10   14313417.53
             7.80          8.00        -23.58        -21.10   17787007.22
             8.00          8.20        -23.58        -21.10   22606321.17
             8.20          8.40        -23.58        -21.10   26225095.58
             8.40          8.60        -23.58        -21.10   29910652.32
             8.60          8.80        -23.58        -21.10   37056422.34
             8.80          9.00        -23.58        -21.10   42830743.12
             9.00          9.20        -23.58        -21.10          0.00
             9.20          9.40        -23.58        -21.10          0.00
             9.40          9.60        -23.58        -21.10          0.00
             9.60          9.80        -23.58        -21.10          0.00
             9.80         10.00        -23.58        -21.10          0.00
             2.00          2.20        -21.10        -18.66          0.00
             2.20          2.40        -21.10        -18.66          0.00
             2.40          2.60        -21.10        -18.66          0.00
             2.60          2.80        -21.10        -18.66          0.00
             2.80          3.00        -21.10        -18.66          0.00
             3.00          3.20        -21.10        -18.66          0.00
             3.20          3.40        -21.10        -18.66          0.00
             3.40          3.60        -21.10        -18.66          0.00
             3.60          3.80        -21.10        -18.66          0.00
             3.80          4.00        -21.10        -18.66          0.00
             4.00          4.20        -21.10        -18.66         73.43
             4.20          4.40        -21.10        -18.66        574.40
             4.40          4.60        -21.10        -18.66       4253.92
             4.60          4.80        -21.10        -18.66      15656.23
             4.80          5.00        -21.10        -18.66      48482.16
             5.00          5.20        -21.10        -18.66     134801.60
             5.20          5.40        -21.10        -18.66     285950.52
             5.40          5.60        -21.10        -18.66     564078.09
             5.60          5.80        -21.10        -18.66    1002075.62
             5.80          6.00        -21.10        -18.66    1579702.08
             6.00          6.20        -21.10        -18.66    2299172.52
             6.20          6.40        -21.10        -18.66    3204917.84
             6.40          6.60        -21.10        -18.66    4322455.79
             6.60          6.80        -21.10        -18.66    5410792.17
             6.80          7.00        -21.10        -18.66    7058373.29
             7.00          7.20        -21.10        -18.66    9039360.96
             7.20          7.40        -21.10        -18.66   11245588.06
             7.40          7.60        -21.10        -18.66   14992029.77
             7.60          7.80        -21.10        -18.66   17532160.58
             7.80          8.00        -21.10        -18.66   21296389.63
             8.00          8.20        -21.10        -18.66   24182456.52
             8.20          8.40        -21.10        -18.66   27972076.80
             8.40          8.60        -21.10        -18.66   34832523.51
             8.60          8.80        -21.10        -18.66   41833992.38
             8.80          9.00        -21.10        -18.66   46282478.23
             9.00          9.20        -21.10        -18.66          0.00
             9.20          9.40        -21.10        -18.66          0.00
             9.40          9.60        -21.10        -18.66          0.00
             9.60          9.80        -21.10        -18.66          0.00
             9.80         10.00        -21.10        -18.66          0.00
             2.00          2.20        -18.66        -16.26          0.00
             2.20          2.40        -18.66        -16.26          0.00
             2.40          2.60        -18.66        -16.26          0.00
             2.60          2.80        -18.66        -16.26          0.00
             2.80          3.00        -18.66        -16.26          0.00
             3.00          3.20        -18.66        -16.26          0.00
             3.20          3.40        -18.66        -16.26          0.00
             3.40          3.60        -18.66        -16.26          1.65
             3.60          3.80        -18.66        -16.26          0.00
             3.80          4.00        -18.66        -16.26         12.87
             4.00          4.20        -18.66        -16.26        209.10
             4.20          4.40        -18.66        -16.26       1594.32
             4.40          4.60        -18.66        -16.26       6103.24
             4.60          4.80        -18.66        -16.26      24349.64
             4.80          5.00        -18.66        -16.26      68509.66
             5.00          5.20        -18.66        -16.26     177230.06
             5.20          5.40        -18.66        -16.26     355276.10
             5.40          5.60        -18.66        -16.26     658462.73
             5.60          5.80        -18.66        -16.26    1084713.52
             5.80          6.00        -18.66        -16.26    1705905.35
             6.00          6.20        -18.66        -16.26    2452323.35
             6.20          6.40        -18.66        -16.26    3441842.03
             6.40          6.60        -18.66        -16.26    4687013.49
             6.60          6.80        -18.66        -16.26    6074794.35
             6.80          7.00        -18.66        -16.26    8088088.09
             7.00          7.20        -18.66        -16.26    9628102.73
             7.20          7.40        -18.66        -16.26   12429078.11
             7.40          7.60        -18.66        -16.26   14673434.03
             7.60          7.80        -18.66        -16.26   18447486.45
             7.80          8.00        -18.66        -16.26   23378384.28
             8.00          8.20        -18.66        -16.26   27645289.28
             8.20          8.40        -18.66        -16.26   32254960.68
             8.40          8.60        -18.66        -16.26   39887262.88
             8.60          8.80        -18.66        -16.26   43257512.40
             8.80          9.00        -18.66        -16.26   56391384.72
             9.00          9.20        -18.66        -16.26          0.00
             9.20          9.40        -18.66        -16.26          0.00
             9.40          9.60        -18.66        -16.26          0.00
             9.60          9.80        -18.66        -16.26          0.00
             9.80         10.00        -18.66        -16.26          0.00
             2.00          2.20        -16.26        -13.89          0.00
             2.20          2.40        -16.26        -13.89          0.00
             2.40          2.60        -16.26        -13.89          0.00
             2.60          2.80        -16.26        -13.89          0.00
             2.80          3.00        -16.26        -13.89          0.08
             3.00          3.20        -16.26        -13.89          0.00
             3.20          3.40        -16.26        -13.89          0.00
             3.40          3.60        -16.26        -13.89          0.00
             3.60          3.80        -16.26        -13.89          4.43
             3.80          4.00        -16.26        -13.89         19.69
             4.00          4.20        -16.26        -13.89        370.77
             4.20          4.40        -16.26        -13.89       2961.37
             4.40          4.60        -16.26        -13.89      12827.58
             4.60          4.80        -16.26        -13.89      41439.86
             4.80          5.00        -16.26        -13.89      93939.31
             5.00          5.20        -16.26        -13.89     216023.72
             5.20          5.40        -16.26        -13.89     406334.51
             5.40          5.60        -16.26        -13.89     727683.07
             5.60          5.80        -16.26        -13.89    1257498.32
             5.80          6.00        -16.26        -13.89    1911049.41
             6.00          6.20        -16.26        -13.89    2781719.58
             6.20          6.40        -16.26        -13.89    3852591.43
             6.40          6.60        -16.26        -13.89    5289768.50
             6.60          6.80        -16.26        -13.89    6728779.98
             6.80          7.00        -16.26        -13.89    8895844.65
             7.00          7.20        -16.26        -13.89   11354600.04
             7.20          7.40        -16.26        -13.89   13225946.24
             7.40          7.60        -16.26        -13.89   17183737.03
             7.60          7.80        -16.26        -13.89   21405501.11
             7.80          8.00        -16.26        -13.89   27016130.25
             8.00          8.20        -16.26        -13.89   30025386.10
             8.20          8.40        -16.26        -13.89   40938119.23
             8.40          8.60        -16.26        -13.89   45304792.31
             8.60          8.80        -16.26        -13.89   49942665.25
             8.80          9.00        -16.26        -13.89   60835969.68
             9.00          9.20        -16.26        -13.89          0.00
             9.20          9.40        -16.26        -13.89          0.00
             9.40          9.60        -16.26        -13.89          0.00
             9.60          9.80        -16.26        -13.89          0.00
             9.80         10.00        -16.26        -13.89          0.00
             2.00          2.20        -13.89        -11.54          0.00
             2.20          2.40        -13.89        -11.54          0.00
             2.40          2.60        -13.89        -11.54          0.01
             2.60          2.80        -13.89        -11.54          0.09
             2.80          3.00        -13.89        -11.54          0.19
             3.00          3.20        -13.89        -11.54          0.00
             3.20          3.40        -13.89        -11.54          0.67
             3.40          3.60        -13.89        -11.54          9.37
             3.60          3.80        -13.89        -11.54         21.99
             3.80          4.00        -13.89        -11.54        257.38
             4.00          4.20        -13.89        -11.54       1532.64
             4.20          4.40        -13.89        -11.54       7314.17
             4.40          4.60        -13.89        -11.54      23450.68
             4.60          4.80        -13.89        -11.54      72095.11
             4.80          5.00        -13.89        -11.54     141391.54
             5.00          5.20        -13.89        -11.54     317607.60
             5.20          5.40        -13.89        -11.54     580846.62
             5.40          5.60        -13.89        -11.54     963480.65
             5.60          5.80        -13.89        -11.54    1490260.44
             5.80          6.00        -13.89        -11.54    2252482.96
             6.00          6.20        -13.89        -11.54    3219233.56
             6.20          6.40        -13.89        -11.54    4405787.33
             6.40          6.60        -13.89        -11.54    5883795.92
             6.60          6.80        -13.89        -11.54    7977834.37
             6.80          7.00        -13.89        -11.54   10052607.97
             7.00          7.20        -13.89        -11.54   12325195.20
             7.20          7.40        -13.89        -11.54   16629582.33
             7.40          7.60        -13.89        -11.54   20308769.59
             7.60          7.80        -13.89        -11.54   24787662.03
             7.80          8.00        -13.89        -11.54   30217363.90
             8.00          8.20        -13.89        -11.54   37224174.12
             8.20          8.40        -13.89        -11.54   45964429.23
             8.40          8.60        -13.89        -11.54   50629891.30
             8.60          8.80        -13.89        -11.54   59214606.62
             8.80          9.00        -13.89        -11.54   73115972.13
             9.00          9.20        -13.89        -11.54          0.00
             9.20          9.40        -13.89        -11.54          0.00
             9.40          9.60        -13.89        -11.54          0.00
             9.60          9.80        -13.89        -11.54          0.00
             9.80         10.00        -13.89        -11.54          0.00
             2.00          2.20        -11.54         -9.21          0.01
             2.20          2.40        -11.54         -9.21          0.05
             2.40          2.60        -11.54         -9.21          0.26
             2.60          2.80        -11.54         -9.21          0.91
             2.80          3.00        -11.54         -9.21          2.67
             3.00          3.20        -11.54         -9.21          9.05
             3.20          3.40        -11.54         -9.21         28.18
             3.40          3.60        -11.54         -9.21        123.68
             3.60          3.80        -11.54         -9.21        526.85
             3.80          4.00        -11.54         -9.21       2222.92
             4.00          4.20        -11.54         -9.21       6500.17
             4.20          4.40        -11.54         -9.21      22324.67
             4.40          4.60        -11.54         -9.21      50584.24
             4.60          4.80        -11.54         -9.21     122450.43
             4.80          5.00        -11.54         -9.21     240454.71
             5.00          5.20        -11.54         -9.21     446245.44
             5.20          5.40        -11.54         -9.21     759024.46
             5.40          5.60        -11.54         -9.21    1255917.69
             5.60          5.80        -11.54         -9.21    1867349.60
             5.80          6.00        -11.54         -9.21    2793553.33
             6.00          6.20        -11.54         -9.21    4023350.47
             6.20          6.40        -11.54         -9.21    5303874.35
             6.40          6.60        -11.54         -9.21    7063586.23
             6.60          6.80        -11.54         -9.21    9391465.74
             6.80          7.00        -11.54         -9.21   11917986.22
             7.00          7.20        -11.54         -9.21   14723225.58
             7.20          7.40        -11.54         -9.21   19116213.73
             7.40          7.60        -11.54         -9.21   24570596.68
             7.60          7.80        -11.54         -9.21   31196433.09
             7.80          8.00        -11.54         -9.21   34875822.44
             8.00          8.20        -11.54         -9.21   45589489.23
             8.20          8.40        -11.54         -9.21   55404864.33
             8.40          8.60        -11.54         -9.21   62722372.45
             8.60          8.80        -11.54         -9.21   72893462.94
             8.80          9.00        -11.54         -9.21   84452544.80
             9.00          9.20        -11.54         -9.21          0.00
             9.20          9.40        -11.54         -9.21          0.00
             9.40          9.60        -11.54         -9.21          0.00
             9.60          9.80        -11.54         -9.21          0.00
             9.80         10.00        -11.54         -9.21          0.00
             2.00          2.20         -9.21         -6.89          0.15
             2.20          2.40         -9.21         -6.89          1.44
             2.40          2.60         -9.21         -6.89          5.92
             2.60          2.80         -9.21         -6.89         23.28
             2.80          3.00         -9.21         -6.89         64.88
             3.00          3.20         -9.21         -6.89        205.34
             3.20          3.40         -9.21         -6.89        574.35
             3.40          3.60         -9.21         -6.89       1708.88
             3.60          3.80         -9.21         -6.89       4637.48
             3.80          4.00         -9.21         -6.89      11845.73
             4.00          4.20         -9.21         -6.89      28445.77
             4.20          4.40         -9.21         -6.89      58346.08
             4.40          4.60         -9.21         -6.89     128035.43
             4.60          4.80         -9.21         -6.89     233761.02
             4.80          5.00         -9.21         -6.89     417383.10
             5.00          5.20         -9.21         -6.89     736291.55
             5.20          5.40         -9.21         -6.89    1113178.65
             5.40          5.60         -9.21         -6.89    1738084.26
             5.60          5.80         -9.21         -6.89    2502269.85
             5.80          6.00         -9.21         -6.89    3572829.11
             6.00          6.20         -9.21         -6.89    5016114.13
             6.20          6.40         -9.21         -6.89    6714145.89
             6.40          6.60         -9.21         -6.89    8999959.45
             6.60          6.80         -9.21         -6.89   11631406.29
             6.80          7.00         -9.21         -6.89   14955597.04
             7.00          7.20         -9.21         -6.89   19687237.43
             7.20          7.40         -9.21         -6.89   22489447.83
             7.40          7.60         -9.21         -6.89   29461946.63
             7.60          7.80         -9.21         -6.89   35448766.08
             7.80          8.00         -9.21         -6.89   41283484.44
             8.00          8.20         -9.21         -6.89   53053547.92
             8.20          8.40         -9.21         -6.89   64524471.47
             8.40          8.60         -9.21         -6.89   80319295.07
             8.60          8.80         -9.21         -6.89   90733901.39
             8.80          9.00         -9.21         -6.89   102152094.31
             9.00          9.20         -9.21         -6.89          0.00
             9.20          9.40         -9.21         -6.89          0.00
             9.40          9.60         -9.21         -6.89          0.00
             9.60          9.80         -9.21         -6.89          0.00
             9.80         10.00         -9.21         -6.89          0.00
             2.00          2.20         -6.89         -4.59          1.17
             2.20          2.40         -6.89         -4.59         11.94
             2.40          2.60         -6.89         -4.59         60.81
             2.60          2.80         -6.89         -4.59        207.53
             2.80          3.00         -6.89         -4.59        610.87
             3.00          3.20         -6.89         -4.59       1617.35
             3.20          3.40         -6.89         -4.59       3988.03
             3.40          3.60         -6.89         -4.59       9275.50
             3.60          3.80         -6.89         -4.59      19985.05
             3.80          4.00         -6.89         -4.59      43056.52
             4.00          4.20         -6.89         -4.59      86202.92
             4.20          4.40         -6.89         -4.59     160199.33
             4.40          4.60         -6.89         -4.59     279000.87
             4.60          4.80         -6.89         -4.59     460108.85
             4.80          5.00         -6.89         -4.59     760439.36
             5.00          5.20         -6.89         -4.59    1126578.53
             5.20          5.40         -6.89         -4.59    1724175.08
             5.40          5.60         -6.89         -4.59    2578539.84
             5.60          5.80         -6.89         -4.59    3479910.48
             5.80          6.00         -6.89         -4.59    4776134.65
             6.00          6.20         -6.89         -4.59    6701386.19
             6.20          6.40         -6.89         -4.59    9013700.06
             6.40          6.60         -6.89         -4.59   11379620.67
             6.60          6.80         -6.89         -4.59   15182322.20
             6.80          7.00         -6.89         -4.59   18729605.27
             7.00          7.20         -6.89         -4.59   26279675.47
             7.20          7.40         -6.89         -4.59   31400099.09
             7.40          7.60         -6.89         -4.59   37547053.15
             7.60          7.80         -6.89         -4.59   49635458.75
             7.80          8.00         -6.89         -4.59   59315997.93
             8.00          8.20         -6.89         -4.59   73003344.20
             8.20          8.40         -6.89         -4.59   86136881.45
             8.40          8.60         -6.89         -4.59   103442024.35
             8.60          8.80         -6.89         -4.59   122836804.78
             8.80          9.00         -6.89         -4.59   146729088.67
             9.00          9.20         -6.89         -4.59          0.00
             9.20          9.40         -6.89         -4.59          0.00
             9.40          9.60         -6.89         -4.59          0.00
             9.60          9.80         -6.89         -4.59          0.00
             9.80         10.00         -6.89         -4.59          0.00
             2.00          2.20         -4.59         -2.29          3.31
             2.20          2.40         -4.59         -2.29         31.14
             2.40          2.60         -4.59         -2.29        145.71
             2.60          2.80         -4.59         -2.29        475.92
             2.80          3.00         -4.59         -2.29       1350.63
             3.00          3.20         -4.59         -2.29       3329.20
             3.20          3.40         -4.59         -2.29       7725.68
             3.40          3.60         -4.59         -2.29      17357.62
             3.60          3.80         -4.59         -2.29      36525.69
             3.80          4.00         -4.59         -2.29      70007.73
             4.00          4.20         -4.59         -2.29     133794.91
             4.20          4.40         -4.59         -2.29     231460.98
             4.40          4.60         -4.59         -2.29     379007.60
             4.60          4.80         -4.59         -2.29     612121.52
             4.80          5.00         -4.59         -2.29     944835.31
             5.00          5.20         -4.59         -2.29    1402182.59
             5.20          5.40         -4.59         -2.29    2077865.69
             5.40          5.60         -4.59         -2.29    3019832.10
             5.60          5.80         -4.59         -2.29    4207593.87
             5.80          6.00         -4.59         -2.29    5676502.11
             6.00          6.20         -4.59         -2.29    7831022.66
             6.20          6.40         -4.59         -2.29   10209415.34
             6.40          6.60         -4.59         -2.29   13540408.12
             6.60          6.80         -4.59         -2.29   18621854.18
             6.80          7.00         -4.59         -2.29   24268146.95
             7.00          7.20         -4.59         -2.29   29340655.33
             7.20          7.40         -4.59         -2.29   36979061.01
             7.40          7.60         -4.59         -2.29   45804772.90
             7.60          7.80         -4.59         -2.29   57333821.18
             7.80          8.00         -4.59         -2.29   74425322.33
             8.00          8.20         -4.59         -2.29   87442769.00
             8.20          8.40         -4.59         -2.29   109781059.75
             8.40          8.60         -4.59         -2.29   131141888.66
             8.60          8.80         -4.59         -2.29   167181376.93
             8.80          9.00         -4.59         -2.29   202635617.59
             9.00          9.20         -4.59         -2.29          0.00
             9.20          9.40         -4.59         -2.29          0.00
             9.40          9.60         -4.59         -2.29          0.00
             9.60          9.80         -4.59         -2.29          0.00
             9.80         10.00         -4.59         -2.29          0.00
             2.00          2.20         -2.29          0.00          5.21
             2.20          2.40         -2.29          0.00         45.18
             2.40          2.60         -2.29          0.00        193.23
             2.60          2.80         -2.29          0.00        604.17
             2.80          3.00         -2.29          0.00       1618.82
             3.00          3.20         -2.29          0.00       4006.86
             3.20          3.40         -2.29          0.00       9146.25
             3.40          3.60         -2.29          0.00      19689.52
             3.60          3.80         -2.29          0.00      40019.46
             3.80          4.00         -2.29          0.00      78589.64
             4.00          4.20         -2.29          0.00     139399.52
             4.20          4.40         -2.29          0.00     249535.48
             4.40          4.60         -2.29          0.00     419937.65
             4.60          4.80         -2.29          0.00     677126.71
             4.80          5.00         -2.29          0.00     999017.48
             5.00          5.20         -2.29          0.00    1493727.75
             5.20          5.40         -2.29          0.00    2258152.83
             5.40          5.60         -2.29          0.00    3092259.50
             5.60          5.80         -2.29          0.00    4263636.04
             5.80          6.00         -2.29          0.00    6042911.14
             6.00          6.20         -2.29          0.00    8204963.90
             6.20          6.40         -2.29          0.00   10498387.81
             6.40          6.60         -2.29          0.00   14141287.89
             6.60          6.80         -2.29          0.00   18411472.93
             6.80          7.00         -2.29          0.00   24589695.86
             7.00          7.20         -2.29          0.00   29212941.82
             7.20          7.40         -2.29          0.00   41795791.88
             7.40          7.60         -2.29          0.00   50532982.31
             7.60          7.80         -2.29          0.00   60345142.37
             7.80          8.00         -2.29          0.00   85738011.81
             8.00          8.20         -2.29          0.00   94485784.02
             8.20          8.40         -2.29          0.00   126764722.94
             8.40          8.60         -2.29          0.00   145536456.73
             8.60          8.80         -2.29          0.00   163351322.77
             8.80          9.00         -2.29          0.00   218616268.42
             9.00          9.20         -2.29          0.00          0.00
             9.20          9.40         -2.29          0.00          0.00
             9.40          9.60         -2.29          0.00          0.00
             9.60          9.80         -2.29          0.00          0.00
             9.80         10.00         -2.29          0.00          0.00
             2.00          2.20          0.00          2.29          6.89
             2.20          2.40          0.00          2.29         53.61
             2.40          2.60          0.00          2.29        221.08
             2.60          2.80          0.00          2.29        665.79
             2.80          3.00          0.00          2.29       1764.31
             3.00          3.20          0.00          2.29       4294.06
             3.20          3.40          0.00          2.29       9769.33
             3.40          3.60          0.00          2.29      20705.21
             3.60          3.80          0.00          2.29      42298.11
             3.80          4.00          0.00          2.29      80653.05
             4.00          4.20          0.00          2.29     147782.43
             4.20          4.40          0.00          2.29     253354.17
             4.40          4.60          0.00          2.29     427877.19
             4.60          4.80          0.00          2.29     671895.91
             4.80          5.00          0.00          2.29     997647.21
             5.00          5.20          0.00          2.29    1526188.48
             5.20          5.40          0.00          2.29    2198912.45
             5.40          5.60          0.00          2.29    3141615.87
             5.60          5.80          0.00          2.29    4379203.57
             5.80          6.00          0.00          2.29    5905013.41
             6.00          6.20          0.00          2.29    8073173.58
             6.20          6.40          0.00          2.29   10503734.37
             6.40          6.60          0.00          2.29   14200117.78
             6.60          6.80          0.00          2.29   18132631.29
             6.80          7.00          0.00          2.29   23356736.21
             7.00          7.20          0.00          2.29   28555269.96
             7.20          7.40          0.00          2.29   38416507.85
             7.40          7.60          0.00          2.29   46184235.01
             7.60          7.80          0.00          2.29   59792741.34
             7.80          8.00          0.00          2.29   65637368.07
             8.00          8.20          0.00          2.29   87734326.63
             8.20          8.40          0.00          2.29   97138422.03
             8.40          8.60          0.00          2.29   122202715.43
             8.60          8.80          0.00          2.29   131862117.65
             8.80          9.00          0.00          2.29   148063766.56
             9.00          9.20          0.00          2.29          0.00
             9.20          9.40          0.00          2.29          0.00
             9.40          9.60          0.00          2.29          0.00
             9.60          9.80          0.00          2.29          0.00
             9.80         10.00          0.00          2.29          0.00
             2.00          2.20          2.29          4.59          8.83
             2.20          2.40          2.29          4.59         63.69
             2.40          2.60          2.29          4.59        244.07
             2.60          2.80          2.29          4.59        722.83
             2.80          3.00          2.29          4.59       1893.15
             3.00          3.20          2.29          4.59       4515.02
             3.20          3.40          2.29          4.59      10052.05
             3.40          3.60          2.29          4.59      21663.18
             3.60          3.80          2.29          4.59      42761.40
             3.80          4.00          2.29          4.59      83550.31
             4.00          4.20          2.29          4.59     148665.51
             4.20          4.40          2.29          4.59     252822.92
             4.40          4.60          2.29          4.59     411316.64
             4.60          4.80          2.29          4.59     682554.25
             4.80          5.00          2.29          4.59    1017501.97
             5.00          5.20          2.29          4.59    1505310.06
             5.20          5.40          2.29          4.59    2139739.27
             5.40          5.60          2.29          4.59    2954154.93
             5.60          5.80          2.29          4.59    4063703.89
             5.80          6.00          2.29          4.59    5505115.60
             6.00          6.20          2.29          4.59    7008123.39
             6.20          6.40          2.29          4.59    9087666.28
             6.40          6.60          2.29          4.59   11921707.39
             6.60          6.80          2.29          4.59   15104501.74
             6.80          7.00          2.29          4.59   18736203.41
             7.00          7.20          2.29          4.59   22828077.29
             7.20          7.40          2.29          4.59   26175478.39
             7.40          7.60          2.29          4.59   35075682.36
             7.60          7.80          2.29          4.59   38033388.76
             7.80          8.00          2.29          4.59   45781683.28
             8.00          8.20          2.29          4.59   44267699.30
             8.20          8.40          2.29          4.59   51680240.90
             8.40          8.60          2.29          4.59   51564734.59
             8.60          8.80          2.29          4.59   54741767.12
             8.80          9.00          2.29          4.59   63748038.07
             9.00          9.20          2.29          4.59          0.00
             9.20          9.40          2.29          4.59          0.00
             9.40          9.60          2.29          4.59          0.00
             9.60          9.80          2.29          4.59          0.00
             9.80         10.00          2.29          4.59          0.00
             2.00          2.20          4.59          6.89         11.20
             2.20          2.40          4.59          6.89         73.03
             2.40          2.60          4.59          6.89        266.31
             2.60          2.80          4.59          6.89        774.04
             2.80          3.00          4.59          6.89       1994.71
             3.00          3.20          4.59          6.89       4724.37
             3.20          3.40          4.59          6.89      10545.01
             3.40          3.60          4.59          6.89      22541.84
             3.60          3.80          4.59          6.89      43959.21
             3.80          4.00          4.59          6.89      83242.31
             4.00          4.20          4.59          6.89     153802.71
             4.20          4.40          4.59          6.89     250871.92
             4.40          4.60          4.59          6.89     427004.75
             4.60          4.80          4.59          6.89     643052.38
             4.80          5.00          4.59          6.89     974972.72
             5.00          5.20          4.59          6.89    1411318.83
             5.20          5.40          4.59          6.89    1961426.23
             5.40          5.60          4.59          6.89    2821976.78
             5.60          5.80          4.59          6.89    3709399.51
             5.80          6.00          4.59          6.89    4757457.77
             6.00          6.20          4.59          6.89    6536663.46
             6.20          6.40          4.59          6.89    8110916.13
             6.40          6.60          4.59          6.89    9918247.50
             6.60          6.80          4.59          6.89   12378469.91
             6.80          7.00          4.59          6.89   14312002.31
             7.00          7.20          4.59          6.89   18544153.85
             7.20          7.40          4.59          6.89   20864524.91
             7.40          7.60          4.59          6.89   23875899.42
             7.60          7.80          4.59          6.89   25622401.10
             7.80          8.00          4.59          6.89   26368657.74
             8.00          8.20          4.59          6.89   29232625.36
             8.20          8.40          4.59          6.89   26509397.97
             8.40          8.60          4.59          6.89   23677620.88
             8.60          8.80          4.59          6.89   24695273.79
             8.80          9.00          4.59          6.89   21382024.62
             9.00          9.20          4.59          6.89          0.00
             9.20          9.40          4.59          6.89          0.00
             9.40          9.60          4.59          6.89          0.00
             9.60          9.80          4.59          6.89          0.00
             9.80         10.00          4.59          6.89          0.00
             2.00          2.20          6.89          9.21         12.79
             2.20          2.40          6.89          9.21         79.54
             2.40          2.60          6.89          9.21        282.66
             2.60          2.80          6.89          9.21        804.17
             2.80          3.00          6.89          9.21       2050.96
             3.00          3.20          6.89          9.21       4893.31
             3.20          3.40          6.89          9.21      10890.38
             3.40          3.60          6.89          9.21      22700.15
             3.60          3.80          6.89          9.21      44815.46
             3.80          4.00          6.89          9.21      83158.19
             4.00          4.20          6.89          9.21     151570.66
             4.20          4.40          6.89          9.21     251210.81
             4.40          4.60          6.89          9.21     397544.55
             4.60          4.80          6.89          9.21     629251.20
             4.80          5.00          6.89          9.21     926508.64
             5.00          5.20          6.89          9.21    1374359.98
             5.20          5.40          6.89          9.21    1888349.16
             5.40          5.60          6.89          9.21    2608228.25
             5.60          5.80          6.89          9.21    3378470.19
             5.80          6.00          6.89          9.21    4315707.72
             6.00          6.20          6.89          9.21    5819817.59
             6.20          6.40          6.89          9.21    7143650.73
             6.40          6.60          6.89          9.21    8910324.09
             6.60          6.80          6.89          9.21   10002910.21
             6.80          7.00          6.89          9.21   11580524.02
             7.00          7.20          6.89          9.21   12744924.01
             7.20          7.40          6.89          9.21   14747428.17
             7.40          7.60          6.89          9.21   14346432.57
             7.60          7.80          6.89          9.21   15839979.70
             7.80          8.00          6.89          9.21   17609978.72
             8.00          8.20          6.89          9.21   13574153.75
             8.20          8.40          6.89          9.21   10844223.14
             8.40          8.60          6.89          9.21   10240586.88
             8.60          8.80          6.89          9.21    8682344.33
             8.80          9.00          6.89          9.21    7021179.28
             9.00          9.20          6.89          9.21          0.00
             9.20          9.40          6.89          9.21          0.00
             9.40          9.60          6.89          9.21          0.00
             9.60          9.80          6.89          9.21          0.00
             9.80         10.00          6.89          9.21          0.00
             2.00          2.20          9.21         11.54         13.62
             2.20          2.40          9.21         11.54         82.52
             2.40          2.60          9.21         11.54        289.55
             2.60          2.80          9.21         11.54        817.57
             2.80          3.00          9.21         11.54       2114.02
