#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             4.20          4.40        -61.64        -57.14         10.26
             4.40          4.60        -61.64        -57.14        287.78
             4.60          4.80        -61.64        -57.14       1839.38
             4.80          5.00        -61.64        -57.14       8042.22
             5.00          5.20        -61.64        -57.14      24962.48
             5.20          5.40        -61.64        -57.14      69765.00
             5.40          5.60        -61.64        -57.14     159606.77
             5.60          5.80        -61.64        -57.14     312675.44
             5.80          6.00        -61.64        -57.14     554335.31
             6.00          6.20        -61.64        -57.14     865113.28
             6.20          6.40        -61.64        -57.14    1213850.06
             6.40          6.60        -61.64        -57.14    1656748.17
             6.60          6.80        -61.64        -57.14    2050168.63
             6.80          7.00        -61.64        -57.14    2583584.11
             7.00          7.20        -61.64        -57.14    3276034.83
             7.20          7.40        -61.64        -57.14    4210323.36
             7.40          7.60        -61.64        -57.14    5065036.26
             7.60          7.80        -61.64        -57.14    6443932.68
             7.80          8.00        -61.64        -57.14    8143829.47
             8.00          8.20        -61.64        -57.14    9306830.31
             8.20          8.40        -61.64        -57.14   11276893.89
             8.40          8.60        -61.64        -57.14   12604948.71
             8.60          8.80        -61.64        -57.14   15838937.43
             8.80          9.00        -61.64        -57.14   18106190.60
             9.00          9.20        -61.64        -57.14          0.00
             9.20          9.40        -61.64        -57.14          0.00
             9.40          9.60        -61.64        -57.14          0.00
             9.60          9.80        -61.64        -57.14          0.00
             9.80         10.00        -61.64        -57.14          0.00
             2.00          2.20        -57.14        -53.13          0.00
             2.20          2.40        -57.14        -53.13          0.00
             2.40          2.60        -57.14        -53.13          0.00
             2.60          2.80        -57.14        -53.13          0.00
             2.80          3.00        -57.14        -53.13          0.05
             3.00          3.20        -57.14        -53.13          0.00
             3.20          3.40        -57.14        -53.13          0.14
             3.40          3.60        -57.14        -53.13          0.00
             3.60          3.80        -57.14        -53.13          0.00
             3.80          4.00        -57.14        -53.13          0.00
             4.00          4.20        -57.14        -53.13          0.00
             4.20          4.40        -57.14        -53.13         37.50
             4.40          4.60        -57.14        -53.13        304.89
             4.60          4.80        -57.14        -53.13       2029.68
             4.80          5.00        -57.14        -53.13       9518.97
             5.00          5.20        -57.14        -53.13      25591.55
             5.20          5.40        -57.14        -53.13      75167.91
             5.40          5.60        -57.14        -53.13     159462.68
             5.60          5.80        -57.14        -53.13     343950.95
             5.80          6.00        -57.14        -53.13     586259.17
             6.00          6.20        -57.14        -53.13     884218.69
             6.20          6.40        -57.14        -53.13    1267953.29
             6.40          6.60        -57.14        -53.13    1727546.64
             6.60          6.80        -57.14        -53.13    2245672.01
             6.80          7.00        -57.14        -53.13    2822275.06
             7.00          7.20        -57.14        -53.13    3599477.47
             7.20          7.40        -57.14        -53.13    4544983.92
             7.40          7.60        -57.14        -53.13    5780613.59
             7.60          7.80        -57.14        -53.13    6474025.92
             7.80          8.00        -57.14        -53.13    8640220.38
             8.00          8.20        -57.14        -53.13    9798120.18
             8.20          8.40        -57.14        -53.13   11773843.66
             8.40          8.60        -57.14        -53.13   13667707.06
             8.60          8.80        -57.14        -53.13   15455717.11
             8.80          9.00        -57.14        -53.13   17683348.56
             9.00          9.20        -57.14        -53.13          0.00
             9.20          9.40        -57.14        -53.13          0.00
             9.40          9.60        -57.14        -53.13          0.00
             9.60          9.80        -57.14        -53.13          0.00
             9.80         10.00        -57.14        -53.13          0.00
             2.00          2.20        -53.13        -49.46          0.00
             2.20          2.40        -53.13        -49.46          0.00
             2.40          2.60        -53.13        -49.46          0.00
             2.60          2.80        -53.13        -49.46          0.00
             2.80          3.00        -53.13        -49.46          0.00
             3.00          3.20        -53.13        -49.46          0.00
             3.20          3.40        -53.13        -49.46          0.00
             3.40          3.60        -53.13        -49.46          0.00
             3.60          3.80        -53.13        -49.46          0.00
             3.80          4.00        -53.13        -49.46          0.00
             4.00          4.20        -53.13        -49.46          5.97
             4.20          4.40        -53.13        -49.46         41.27
             4.40          4.60        -53.13        -49.46        436.29
             4.60          4.80        -53.13        -49.46       2114.09
             4.80          5.00        -53.13        -49.46       9055.96
             5.00          5.20        -53.13        -49.46      27246.21
             5.20          5.40        -53.13        -49.46      78805.62
             5.40          5.60        -53.13        -49.46     176667.37
             5.60          5.80        -53.13        -49.46     362731.61
             5.80          6.00        -53.13        -49.46     602453.73
             6.00          6.20        -53.13        -49.46     970672.41
             6.20          6.40        -53.13        -49.46    1383241.45
             6.40          6.60        -53.13        -49.46    1785121.07
             6.60          6.80        -53.13        -49.46    2420292.79
             6.80          7.00        -53.13        -49.46    2997998.60
             7.00          7.20        -53.13        -49.46    3695480.94
             7.20          7.40        -53.13        -49.46    4844969.45
             7.40          7.60        -53.13        -49.46    6006420.12
             7.60          7.80        -53.13        -49.46    6933786.20
             7.80          8.00        -53.13        -49.46    9029325.58
             8.00          8.20        -53.13        -49.46   10265532.69
             8.20          8.40        -53.13        -49.46   12638642.74
             8.40          8.60        -53.13        -49.46   15525102.26
             8.60          8.80        -53.13        -49.46   16871059.64
             8.80          9.00        -53.13        -49.46   17440010.87
             9.00          9.20        -53.13        -49.46          0.00
             9.20          9.40        -53.13        -49.46          0.00
             9.40          9.60        -53.13        -49.46          0.00
             9.60          9.80        -53.13        -49.46          0.00
             9.80         10.00        -53.13        -49.46          0.00
             2.00          2.20        -49.46        -46.05          0.00
             2.20          2.40        -49.46        -46.05          0.00
             2.40          2.60        -49.46        -46.05          0.00
             2.60          2.80        -49.46        -46.05          0.00
             2.80          3.00        -49.46        -46.05          0.00
             3.00          3.20        -49.46        -46.05          0.00
             3.20          3.40        -49.46        -46.05          0.00
             3.40          3.60        -49.46        -46.05          0.00
             3.60          3.80        -49.46        -46.05          0.00
             3.80          4.00        -49.46        -46.05          0.00
             4.00          4.20        -49.46        -46.05          9.25
             4.20          4.40        -49.46        -46.05         26.49
             4.40          4.60        -49.46        -46.05        529.97
             4.60          4.80        -49.46        -46.05       2666.13
             4.80          5.00        -49.46        -46.05      10689.58
             5.00          5.20        -49.46        -46.05      32895.38
             5.20          5.40        -49.46        -46.05      83539.77
             5.40          5.60        -49.46        -46.05     191106.77
             5.60          5.80        -49.46        -46.05     389487.72
             5.80          6.00        -49.46        -46.05     645310.97
             6.00          6.20        -49.46        -46.05    1044811.26
             6.20          6.40        -49.46        -46.05    1495224.47
             6.40          6.60        -49.46        -46.05    1877583.83
             6.60          6.80        -49.46        -46.05    2472744.30
             6.80          7.00        -49.46        -46.05    3229934.89
             7.00          7.20        -49.46        -46.05    4068476.65
             7.20          7.40        -49.46        -46.05    5448488.04
             7.40          7.60        -49.46        -46.05    6748033.43
             7.60          7.80        -49.46        -46.05    7544136.23
             7.80          8.00        -49.46        -46.05    9454977.13
             8.00          8.20        -49.46        -46.05   11276862.11
             8.20          8.40        -49.46        -46.05   13271076.54
             8.40          8.60        -49.46        -46.05   15533353.33
             8.60          8.80        -49.46        -46.05   19021064.24
             8.80          9.00        -49.46        -46.05   18464878.75
             9.00          9.20        -49.46        -46.05          0.00
             9.20          9.40        -49.46        -46.05          0.00
             9.40          9.60        -49.46        -46.05          0.00
             9.60          9.80        -49.46        -46.05          0.00
             9.80         10.00        -49.46        -46.05          0.00
             2.00          2.20        -46.05        -42.84          0.00
             2.20          2.40        -46.05        -42.84          0.00
             2.40          2.60        -46.05        -42.84          0.00
             2.60          2.80        -46.05        -42.84          0.00
             2.80          3.00        -46.05        -42.84          0.00
             3.00          3.20        -46.05        -42.84          0.00
             3.20          3.40        -46.05        -42.84          0.00
             3.40          3.60        -46.05        -42.84          0.00
             3.60          3.80        -46.05        -42.84          0.00
             3.80          4.00        -46.05        -42.84          0.00
             4.00          4.20        -46.05        -42.84          0.00
             4.20          4.40        -46.05        -42.84         65.52
             4.40          4.60        -46.05        -42.84        449.79
             4.60          4.80        -46.05        -42.84       2294.12
             4.80          5.00        -46.05        -42.84       9555.66
             5.00          5.20        -46.05        -42.84      32817.93
             5.20          5.40        -46.05        -42.84      88644.42
             5.40          5.60        -46.05        -42.84     211861.30
             5.60          5.80        -46.05        -42.84     406241.56
             5.80          6.00        -46.05        -42.84     710744.23
             6.00          6.20        -46.05        -42.84    1101142.16
             6.20          6.40        -46.05        -42.84    1535321.12
             6.40          6.60        -46.05        -42.84    2067309.28
             6.60          6.80        -46.05        -42.84    2741701.48
             6.80          7.00        -46.05        -42.84    3493863.31
             7.00          7.20        -46.05        -42.84    4050462.60
             7.20          7.40        -46.05        -42.84    5718065.80
             7.40          7.60        -46.05        -42.84    6767713.98
             7.60          7.80        -46.05        -42.84    8742606.19
             7.80          8.00        -46.05        -42.84    9480935.89
             8.00          8.20        -46.05        -42.84   11201376.27
             8.20          8.40        -46.05        -42.84   14825005.08
             8.40          8.60        -46.05        -42.84   15413639.83
             8.60          8.80        -46.05        -42.84   19938232.44
             8.80          9.00        -46.05        -42.84   22395186.35
             9.00          9.20        -46.05        -42.84          0.00
             9.20          9.40        -46.05        -42.84          0.00
             9.40          9.60        -46.05        -42.84          0.00
             9.60          9.80        -46.05        -42.84          0.00
             9.80         10.00        -46.05        -42.84          0.00
             2.00          2.20        -42.84        -39.79          0.00
             2.20          2.40        -42.84        -39.79          0.00
             2.40          2.60        -42.84        -39.79          0.00
             2.60          2.80        -42.84        -39.79          0.00
             2.80          3.00        -42.84        -39.79          0.00
             3.00          3.20        -42.84        -39.79          0.00
             3.20          3.40        -42.84        -39.79          0.00
             3.40          3.60        -42.84        -39.79          1.19
             3.60          3.80        -42.84        -39.79          0.00
             3.80          4.00        -42.84        -39.79          0.00
             4.00          4.20        -42.84        -39.79          4.00
             4.20          4.40        -42.84        -39.79         90.74
             4.40          4.60        -42.84        -39.79        548.54
             4.60          4.80        -42.84        -39.79       3408.37
             4.80          5.00        -42.84        -39.79      11944.39
             5.00          5.20        -42.84        -39.79      37365.73
             5.20          5.40        -42.84        -39.79     102566.03
             5.40          5.60        -42.84        -39.79     218036.53
             5.60          5.80        -42.84        -39.79     442486.71
             5.80          6.00        -42.84        -39.79     777991.21
             6.00          6.20        -42.84        -39.79    1144042.11
             6.20          6.40        -42.84        -39.79    1676303.94
             6.40          6.60        -42.84        -39.79    2185202.59
             6.60          6.80        -42.84        -39.79    2823829.49
             6.80          7.00        -42.84        -39.79    3572616.23
             7.00          7.20        -42.84        -39.79    4439745.04
             7.20          7.40        -42.84        -39.79    5629292.89
             7.40          7.60        -42.84        -39.79    7371189.13
             7.60          7.80        -42.84        -39.79    8640661.42
             7.80          8.00        -42.84        -39.79    9854056.61
             8.00          8.20        -42.84        -39.79   11863991.45
             8.20          8.40        -42.84        -39.79   15216169.87
             8.40          8.60        -42.84        -39.79   17814249.40
             8.60          8.80        -42.84        -39.79   19112897.26
             8.80          9.00        -42.84        -39.79   22963339.53
             9.00          9.20        -42.84        -39.79          0.00
             9.20          9.40        -42.84        -39.79          0.00
             9.40          9.60        -42.84        -39.79          0.00
             9.60          9.80        -42.84        -39.79          0.00
             9.80         10.00        -42.84        -39.79          0.00
             2.00          2.20        -39.79        -36.87          0.00
             2.20          2.40        -39.79        -36.87          0.00
             2.40          2.60        -39.79        -36.87          0.00
             2.60          2.80        -39.79        -36.87          0.00
             2.80          3.00        -39.79        -36.87          0.00
             3.00          3.20        -39.79        -36.87          0.00
             3.20          3.40        -39.79        -36.87          0.00
             3.40          3.60        -39.79        -36.87          0.00
             3.60          3.80        -39.79        -36.87          0.00
             3.80          4.00        -39.79        -36.87          0.00
             4.00          4.20        -39.79        -36.87         24.64
             4.20          4.40        -39.79        -36.87         98.15
             4.40          4.60        -39.79        -36.87        528.13
             4.60          4.80        -39.79        -36.87       3354.73
             4.80          5.00        -39.79        -36.87      14346.40
             5.00          5.20        -39.79        -36.87      41682.65
             5.20          5.40        -39.79        -36.87     103476.46
             5.40          5.60        -39.79        -36.87     243975.19
             5.60          5.80        -39.79        -36.87     509783.13
             5.80          6.00        -39.79        -36.87     821503.11
             6.00          6.20        -39.79        -36.87    1246990.51
             6.20          6.40        -39.79        -36.87    1796477.48
             6.40          6.60        -39.79        -36.87    2410972.80
             6.60          6.80        -39.79        -36.87    3074139.60
             6.80          7.00        -39.79        -36.87    3929016.30
             7.00          7.20        -39.79        -36.87    5072220.85
             7.20          7.40        -39.79        -36.87    6099511.14
             7.40          7.60        -39.79        -36.87    7240396.28
             7.60          7.80        -39.79        -36.87    8741285.87
             7.80          8.00        -39.79        -36.87   11193110.81
             8.00          8.20        -39.79        -36.87   13342455.34
             8.20          8.40        -39.79        -36.87   15488237.76
             8.40          8.60        -39.79        -36.87   19358317.50
             8.60          8.80        -39.79        -36.87   20797101.75
             8.80          9.00        -39.79        -36.87   25677127.30
             9.00          9.20        -39.79        -36.87          0.00
             9.20          9.40        -39.79        -36.87          0.00
             9.40          9.60        -39.79        -36.87          0.00
             9.60          9.80        -39.79        -36.87          0.00
             9.80         10.00        -39.79        -36.87          0.00
             2.00          2.20        -36.87        -34.06          0.00
             2.20          2.40        -36.87        -34.06          0.00
             2.40          2.60        -36.87        -34.06          0.00
             2.60          2.80        -36.87        -34.06          0.00
             2.80          3.00        -36.87        -34.06          0.00
             3.00          3.20        -36.87        -34.06          0.00
             3.20          3.40        -36.87        -34.06          0.00
             3.40          3.60        -36.87        -34.06          0.00
             3.60          3.80        -36.87        -34.06          0.00
             3.80          4.00        -36.87        -34.06          0.00
             4.00          4.20        -36.87        -34.06          7.48
             4.20          4.40        -36.87        -34.06         43.14
             4.40          4.60        -36.87        -34.06        784.08
             4.60          4.80        -36.87        -34.06       4053.37
             4.80          5.00        -36.87        -34.06      14796.84
             5.00          5.20        -36.87        -34.06      45461.78
             5.20          5.40        -36.87        -34.06     125305.38
             5.40          5.60        -36.87        -34.06     265520.47
             5.60          5.80        -36.87        -34.06     545396.48
             5.80          6.00        -36.87        -34.06     890156.00
             6.00          6.20        -36.87        -34.06    1327274.61
             6.20          6.40        -36.87        -34.06    1956167.95
             6.40          6.60        -36.87        -34.06    2516149.16
             6.60          6.80        -36.87        -34.06    3167494.46
             6.80          7.00        -36.87        -34.06    4228932.81
             7.00          7.20        -36.87        -34.06    5307500.76
             7.20          7.40        -36.87        -34.06    6289111.86
             7.40          7.60        -36.87        -34.06    7254998.72
             7.60          7.80        -36.87        -34.06   10040702.20
             7.80          8.00        -36.87        -34.06   12578322.04
             8.00          8.20        -36.87        -34.06   14627737.14
             8.20          8.40        -36.87        -34.06   16934630.52
             8.40          8.60        -36.87        -34.06   19865487.76
             8.60          8.80        -36.87        -34.06   23766225.45
             8.80          9.00        -36.87        -34.06   27081465.01
             9.00          9.20        -36.87        -34.06          0.00
             9.20          9.40        -36.87        -34.06          0.00
             9.40          9.60        -36.87        -34.06          0.00
             9.60          9.80        -36.87        -34.06          0.00
             9.80         10.00        -36.87        -34.06          0.00
             2.00          2.20        -34.06        -31.33          0.00
             2.20          2.40        -34.06        -31.33          0.00
             2.40          2.60        -34.06        -31.33          0.00
             2.60          2.80        -34.06        -31.33          0.00
             2.80          3.00        -34.06        -31.33          0.00
             3.00          3.20        -34.06        -31.33          0.00
             3.20          3.40        -34.06        -31.33          0.00
             3.40          3.60        -34.06        -31.33          0.00
             3.60          3.80        -34.06        -31.33          0.00
             3.80          4.00        -34.06        -31.33          0.00
             4.00          4.20        -34.06        -31.33         12.14
             4.20          4.40        -34.06        -31.33        131.42
             4.40          4.60        -34.06        -31.33        799.76
             4.60          4.80        -34.06        -31.33       4476.87
             4.80          5.00        -34.06        -31.33      14693.21
             5.00          5.20        -34.06        -31.33      57127.28
             5.20          5.40        -34.06        -31.33     131809.61
             5.40          5.60        -34.06        -31.33     327037.65
             5.60          5.80        -34.06        -31.33     582692.13
             5.80          6.00        -34.06        -31.33     983361.43
             6.00          6.20        -34.06        -31.33    1516339.31
             6.20          6.40        -34.06        -31.33    2036456.39
             6.40          6.60        -34.06        -31.33    2747211.31
             6.60          6.80        -34.06        -31.33    3561187.72
             6.80          7.00        -34.06        -31.33    4442355.38
             7.00          7.20        -34.06        -31.33    5482573.15
             7.20          7.40        -34.06        -31.33    7573399.11
             7.40          7.60        -34.06        -31.33    9493278.92
             7.60          7.80        -34.06        -31.33   10755106.05
